Nom structure,Logo,Photo,Type structure,Plusieurs lieux en France (en réseau ou en franchise),Nom2,Rue (adresse du lieu d'enseignement),CP,Info adresse,Jour(s) de fermeture,Accès handicapés ?,Centre de formation pro ?,Nombre de salles,Location de salles ?,Site web,Newsletter (à laquelle je souscris via l'adresse bloginfolbc@gmail.com),Réservation cours possible en ligne,Réservation en ligne : site web,Réservation obligatoire en ligne,Adhésion / inscription possible en ligne,Adhésion / inscription : site web,Info inscription,Formulaire d'inscription à remplir,Pour inscription : photocopie carte d'identité,Pour inscription : photo d'identité,Pour inscription : règlement sur place,Pour inscription : certificat médical de moins de 3 mois,Pour inscription : attestation d'assurance,Limite avant annulation sans frais (en nombre de jours),Fixe,Portable,Mail,Mail2,Nom contact,Chèques vacances acceptés,Coupons Sports ANCV accepté,"Tickets loisirs C.A.F. acceptés (y compris les ""tickets temps libre"")",Possibilité financement par l'AFDAS,AFDAS : Possibilité financement DIF,AFDAS : Possibilité financement CIF,Info,Cours annuel uniquement : inscription impérative à cette date précise,Discplines,Attendre début janvier avant de référencer
Cours de danse Suky,,,Association,,,233 bis Fbg Saint-Honoré,75008,26 Villa Wagram,,,,,,http://www.coursdedanse-suky.com/,,,,,,,,,,,,,,,06 12 79 35 17,,suky.danses@gmail.com,,,,,,,,,,,,
Cardao de Ouro (CDO) - Montaigne,,,Association,,Gymnase du Lycée Montaigne,15 rue Auguste Comte,75006,,,,,,,http://www.cdoparis.com/,,,,,,,,,,,,,,,06 64 61 25 21,,capoeira@cdoparis.com,,,,,,,,,,,Capoeira. Peu de cours mais dans plusieurs arrdts,
Cardao de Ouro (CDO) - M. des Jeunes,,,Association,,La Maison des Jeunes,12 rue Bossuer,75010,,,,,,,http://www.cdoparis.com/,,,,,,,,,,,,,,,06 64 61 25 21,,capoeira@cdoparis.com,,,,,,,,,,,Capoeira. Peu de cours mais dans plusieurs arrdts,
Cardao de Ouro (CDO) - Fénelon,,,Association,,Gymnase du Lycée Fénelon,Impasse du Jardinet,75006,,,,,,,http://www.cdoparis.com/,,,,,,,,,,,,,,,06 64 61 25 21,,capoeira@cdoparis.com,,,,,,,,,,,Capoeira. Peu de cours mais dans plusieurs arrdts,
Cardao de Ouro (CDO) - Lagrange,,,Association,,Gymnase Léo Lagrange,68 bd Poniatowski,75012,,,,,,,http://www.cdoparis.com/,,,,,,,,,,,,,,,06 64 61 25 21,,capoeira@cdoparis.com,,,,,,,,,,,Capoeira. Peu de cours mais dans plusieurs arrdts,
Cardao de Ouro (CDO) - MAI,,,Association,,Maison de MAI,27 rue Cabrol,75010,,,,,,,http://www.cdoparis.com/,,,,,,,,,,,,,,,06 64 61 25 21,,capoeira@cdoparis.com,,,,,,,,,,,Capoeira. Peu de cours mais dans plusieurs arrdts,
Cardao de Ouro (CDO) - M. le Comte,,,Association,,Gymnase Michel le Comte,14 rue Michel le Comte,75003,,,,,,,http://www.cdoparis.com/,,,,,,,,,,,,,,,06 64 61 25 21,,capoeira@cdoparis.com,,,,,,,,,,,Capoeira. Peu de cours mais dans plusieurs arrdts,
Viva-Danse - Vaugirard,,,Association,,,"33, boulevard Vaugirard",75015,"Le 33, bd Vaugirard est une sortie de véhicule, prendre le trottoir sur la gauche, puis la deuxième porte bleue avec enseigne ""Ecole de Danse"".",,,,,,http://www.viva-danse.com/,,,,,,,,,,,,,,,01 40 44 67 36 ,,vivadanse@free.fr,,,,,,,,,,,,
Viva-Danse - St Pétersbourg,,,Association,,,"1, rue saint Pétersbourg",75008,Prendre l'entrée piéton du parking de la Poste. La salle de danse est au fond sur la droite.,,,,,,http://www.viva-danse.com/,,,,,,,,,,,,,,,01 40 44 67 36 ,,vivadanse@free.fr,,,,,,,,,,,,
Viva-Danse - Landon,,,Association,,,"9, rue Château-Landon",75010,"La salle de danse est au sixième étage, palier de droite en sortant de l'ascenseur.",,,,,,http://www.viva-danse.com/,,,,,,,,,,,,,,,01 40 44 67 36 ,,vivadanse@free.fr,,,,,,,,,,,,
Viva-Danse - Charolais,,,Association,,Club de danse de la gare de Lyon,"87, rue du Charolais",75012,,,,,,,http://www.viva-danse.com/,,,,,,,,,,,,,,,01 40 44 67 36 ,,vivadanse@free.fr,,,,,,,,,,,,
Allegria (Pascale Chalot),,,Association,,,12 rue de Lisbonne,75008,,,,,,,contact@pascaletachot.com,,,,,,,,,,,,,,,01 46 37 32 24,06 12 16 53 18,,,,,,,,,,,,"Plusieurs sites, peu de cours collectifs, prendre cours de Hanlet uniquement",
Studio Muller ,,,Ecole privée,,,"22, Square Dunois",75013,,,,,,,http://www.studio-muller.com/,,,,,,,,,,,,,,,06 86 91 81 02,06 63 02 37 41 ,studiomuller@gmail.com,,,,,,,,,,,"Trouvé sur Google, pas mal car cours pour adultes et enfants, et stages. 2 1ers cours gratuits",
Paris Ateliers,,,Municipal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Enormément de disciplines et de lieux différents. Contacté via mail (réponse le 21/12/12) : renseignements sur chaque fiche de cours (onglet ""ateliers""), très fastidieux… ! Choisir les cours les plus intéressants ? Prix selon le QF",
Pole Attitude,,,Ecole privée,,,23 rue de Cléry,75002,,,,,,,http://www.pole-dance-attitude.com/,,,,,,,,,,,,,,,01 40 39 03 59,,poledanceattitude@gmail.com,,,,,,,,,,,"Ecole de pole danse ! Planning en ligne, à référencer",
Ecole du Spectacle,,,Ecole privée,,Espace Lauriston,74bis rue Lauriston,75116,,,,,,,http://academiedanseparis.com/,,,,,,,,,,,,,,,01 45 01 92 06,01 45 01 92 06,,,,,,,,,,,,"Trouvé sur Google, très vien pour ses cours open adultes + location des salles (cf onglet contact ""mise à dispo des salles"")",
Centre d'Animation Les Halles Le Marais,,,Municipal,,Forum des Halles niveau -3,6-8 Place carrée,75001,,,,,,,http://www.anim-leshalles.org/,,,,,,,,,,,,,,,01 40 28 18 48,,,,,,,,,,,,,"Superbes cours, à référencer !",
Centre d'Animation Saint Honoré,,,Municipal,,,32 Place du marché Saint-Honoré,75001,,,,,,,http://www.anim-leshalles.org/,,,,,,,,,,,,,,,01 49 26 92 12,,,,,,,,,,,,,"Superbes cours, à référencer !",
Association Tradition et Culture - Buffaut,,,Association,,Gymnase Buffaut,"26, rue Buffaut",75009,,,,,,,http://www.atc-paris.fr/,,,,,,,,,,,,,,,01 42 71 43 55,06 30 76 65 14,atc-paris@orange.fr,,,,,,,,,,,"Pas mal de choix en lieux, cours (capeoira surtout), et âges",
Association Tradition et Culture - Berlioux,,,Association,,Gymnase Suzanne Berlioux ,"4, Place de la Rotonde",75001,,,,,,,http://www.atc-paris.fr/,,,,,,,,,,,,,,,01 42 71 43 55,06 30 76 65 14,atc-paris@orange.fr,,,,,,,,,,,"Pas mal de choix en lieux, cours (capeoira surtout), et âges",
Association Tradition et Culture - Blanc Manteaux,,,Association,,Espace Blanc Manteaux,"48, rue Vieille du Temple",75004,,,,,,,http://www.atc-paris.fr/,,,,,,,,,,,,,,,01 42 71 43 55,06 30 76 65 14,atc-paris@orange.fr,,,,,,,,,,,"Pas mal de choix en lieux, cours (capeoira surtout), et âges",
Association Tradition et Culture - Mairie 4e,,,Association,,Mairie du 4e,Place Baudoyer,75004,,,,,,,http://www.atc-paris.fr/,,,,,,,,,,,,,,,01 42 71 43 55,06 30 76 65 14,atc-paris@orange.fr,,,,,,,,,,,"Pas mal de choix en lieux, cours (capeoira surtout), et âges",
Association Tradition et Culture - St Merri,,,Association,,Gymnase St Merri,"16, rue du Renard",75004,,,,,,,http://www.atc-paris.fr/,,,,,,,,,,,,,,,01 42 71 43 55,06 30 76 65 14,atc-paris@orange.fr,,,,,,,,,,,"Pas mal de choix en lieux, cours (capeoira surtout), et âges",
Association Tradition et Culture - Jean Dame,,,Association,,Gymnase Jean Dame,"17, rue Léopol Bellan",75002,,,,,,,http://www.atc-paris.fr/,,,,,,,,,,,,,,,01 42 71 43 55,06 30 76 65 14,atc-paris@orange.fr,,,,,,,,,,,"Pas mal de choix en lieux, cours (capeoira surtout), et âges",
Association Tradition et Culture - Bleu,,,Association,,Atelier Bleu,98-100 avenue de la république,75011,,,,,,,http://www.atc-paris.fr/,,,,,,,,,,,,,,,01 42 71 43 55,06 30 76 65 14,atc-paris@orange.fr,,,,,,,,,,,"Pas mal de choix en lieux, cours (capeoira surtout), et âges",
L'Atelier du Cygne,,,Association,,,"10, rue du Cygne",75001,,,,,,,http://www.latelierducygne.com/,,,,,,,,,,,,,,,,,info@latelierducygne.com,,,,,,,,,,,"Cliquer sur chaque page de cours pour voir les tarifs. Gym seniors gratuit, financé par la mairie",
C.E.A.S.C.,,,Association,,,"23, rue de la Sourdière",75001,,,,,,,http://ceasc.dev.free.fr/,,,,,,,,,,,,,,,01 42 61 27 74,,ceasc@free.fr,,,,,,,,,,,"Lieu ouvert à toutes les assoces : les salles se louent à l'heure, voir tarifs sur le site. Manque les tarifs des cours",
Y a d’la Voix ,,,Ecole privée,,,171 rue du Faubourg St Antoine,75011,,,,,,,http://www.yadlavoix.fr/,,,,,,,,,,,,,,,09 52 01 16 11,,contact@yadlavoix.fr,,,,,,,,,,,"Ateliers et stages de chant, mais pas d'horaires précis… Loue aussi leurs espaces ! Voir en haut à droite de la page accueil onglet",
Jeanine Roze Production,,,Ecole privée,,,15 avenue Montaigne,75008,,,,,,,http://www.jeanine-roze-production.fr/,,,,,,,,,,,,,,,01 42 56 90 10,,,,,,,,,,,,,"Des ateliers pour enfants le dimanche à 11h, gratuit, et avec l'obligation qu'un adulte paie pour le spectacle",
Côté Cour,,,Ecole privée,,,"177, rue St Denis",75002,,,,,,,http://www.cotecour.net/,,,,,,,,,,,,,,,01 40 13 06 29,,,,,,,,,,,,,,
L'Ecole au Théâtre des Variétés,,,Association,,,17 Galerie des Variétés ,75002,,,,,,,http://www.idproscenium.com/,,,,,,,,,,,,,,,01 73 70 52 30,,idproscenium@gmail.com,,,,,,,,,,,2 ou 3 cours du soir pour amateurs. Cours d'essai possible à 5€. Appeler pour vérifier le lieu,
Cours Jean-Laurent COCHET Pierre DELAVENE - Douai,,,Ecole privée,,,42 rue de Douai,75009,,,,,,,http://www.courscochet.fr/,,,,,,,,,,,,,,,01 55 32 21 24,06 79 72 26 69,courscochet@yahoo.fr,,,,,,,,,,,Pas mal de stages et qq cours du soir,
Cours Jean-Laurent COCHET Pierre DELAVENE - St-Roch,,,Ecole privée,,,35 rue Saint-Roch,75001,,,,,,,http://www.courscochet.fr/,,,,,,,,,,,,,,,01 55 32 21 24,06 79 72 26 69,courscochet@yahoo.fr,,,,,,,,,,,Pas mal de stages et qq cours du soir,
Cours Jean-Laurent COCHET Pierre DELAVENE - Louis-le-Grand,,,Ecole privée,,,7 rue Louis-le-Grand,75002,,,,,,,http://www.courscochet.fr/,,,,,,,,,,,,,,,01 55 32 21 24,06 79 72 26 69,courscochet@yahoo.fr,,,,,,,,,,,Pas mal de stages et qq cours du soir,
Maison des métallos,,,Association,,,94 rue Jean-Pierre Timbaud,75011,,,,,,,http://www.maisondesmetallos.org/infos-pratiques/acces,,,,,,,,,,,,,,,01 48 05 88 27,,info@maisondesmetallos.org,,,,,,,,,,,Superbes ateliers ! Notamment 3jrs de Beatbox. Référencer les cours : dispo jusqu'à fin mars.,
Yoga Daguerre,,,Ecole privée,,,"81-83, rue Daguerre",75014,,,,,,,http://yogadaguerre.fr/,,,,,,,,,,,,,,"Toute absence prévenue au moins 24h à l’avance peut faire l’objet d’un rattrapage, mais en aucun cas les cours à récupérer ne peuvent se substituer au règlement de la cotisation trimestrielle ; ils se prennent en plus des cours habituels. Toute place libre à l’heure précise du début du cours peut être offerte à un autre élève (rattrapage de cours ou cours d’essai).",01 45 35 58 88,06 09 20 50 49,christine.sagourin@yogadaguerre.fr,,,,,,,,,,,,
Sébastien Labergère,,,Indépendant,,École de Danse Pierre Burdon,135 boulevard Diderot,75012,Code d'accès de l'école : 8384A.,,,,,,,,,,,,,,,,,,,,,,06 62 35 60 75,seblabergere@hotmail.fr,,,,,,,,,"Initié à la danse par sa sœur dès l’âge de trois ans, Sébastien est un touche à tout qui après le classique, le modern’ jazz, et les claquettes s’est finalement tourné vers la danse en couple.
Compétiteur de niveau international, il fut vice-champion de France Junior et parvint à entrer dans le top 10 des danseurs français en danses latines en 1998 et à finir 8ème du championnat de France latines en 1999.
Après être venu s’installer définitivement à Paris en 2000, il intégra la troupe du Feeling Dance Show la même année et s'est produit régulièrement en spectacle avec elle dans les plus grandes salles de France jusqu'en 2008. Il participe également pendant la saison 2007-2008 à la promotion du l'album de Dany Brillant, « Viens Danser».
Devenu professeur de danses sportives, danses de société, rock et salsa portoricaine, au sein du Feeling Studio entre 2002 et 2009, Sébastien enseigne aussi auprès d'associations à Sevran (93), Croissy-Sur-Seine (78) depuis 2002, et à Maisons-Laffitte (78) depuis 2009.
Depuis 2009, il se consacre par ailleurs à l'enseignement des danses sportives auprès de compétiteurs de niveau national, et juge régulièrement au sein des compétitions organisées par la FFD/CNSDS en tant que juge de niveau B. Sébastien est enfin depuis 2009 l'un des co-organisateurs du Tournoi International de Maisons-Laffitte pour lequel il assure la programmation des shows annexes, les invitations des couples participants ainsi qu'une partie de la présentation.",,,
Ecole Internationale de Mime Corporel Dramatique,,,Ecole privée,,Atelier de Belleville,"10ter, rue Bisson",75020,,,,,,,http://www.mime-corporel.eu/,,,,,,,,,,,,,,,09 51 55 08 16,01 40 16 19 07,info@mime-corporel.eu,,,,,X,X,X,X,"Situé à Paris Belleville, l'Ecole Internationale de Mime Corporel Dramatique est un lieu de formation continue en théâtre gestuel. Chaque année il accueille des élèves venus de différents horizons et de différents pays, tous désireux d'approfondir leur connaissance dans le théâtre corporel et d'y assimiler les rudiments essentiels de l'art du mime corporel d'Etienne Decroux.

L’Ecole de Mime Corporel Dramatique sous la direction pédagogique de Ivan Bacciocchi, membre du GLAM (Groupe de Liaison des Arts du Mime) commandé par le Ministère de la Culture, propose un vaste choix de formations professionnels et amateurs :
- La Formation Professionnelle Continue 
- Les Cours du Soir pour professionnels et amateurs
- Stage / Workshop pour professionnels et amateurs weekend, hebdomadaire et intensif.

Le mime corporel dramatique étant au carrefour des disciplines s’adresse à un public hétéroclite venant aussi bien de la danse que du théâtre de la musique, de la marionnette ou du dessin.",,,
Yoga du rire - Espace Thimbaud,,,Association,,La fabrique 70,70 rue Jean Pierre Timbaud,75011,,,,,,,http://www.ecolederire.org/,,,,,,,,,,,,,,,06 25 70 69 36,,,,,,,,,,,,,,
Université du Rire à Paris,,,Association,,,"4, avenue Courteline",75012,,,,,,,http://www.rire-a-paris.com/,,,,,,,,,,,,,,,06 13 55 71 50,,,,,,,,,,,"Association ""T’es plus chouette quand tu souris"".",,,
Le Maison des Metallos,,,Association,,,94 rue Jean-Pierre Timbaud,75011,,,,,,,http://www.maisondesmetallos.org/,,,,,,,,,,,,,,,01 58 30 11 49,01 48 05 88 27,info@maisondesmetallos.org,,,,,,,,,"La Maison des métallos est ouverte au public du lundi au vendredi de 9h à 19h, le samedi de 14h à 19h, en soirée et le dimanche lors des manifestations.
À noter que le lundi est le jour de relâche pour les spectacles et que les expositions ne sont pas ouvertes.

La mezzanine de la Maison des métallos est ouverte du lundi au samedi en journée.
En soirée et les dimanches, lors des manifestations, le Café des Métallos propose boissons et restauration légère. On peut y lire quelques titres de presse. Il est animé régulièrement de débats et rencontres… Et quand il fait beau, on sort la buvette dans la cour. Les Métallos, un lieu de vie, en plus avec l’accès wiﬁ gratuit !",,,
